term,#messages,#instances
"lovin’",1,1
"https://t.co/hf3mqposai",1,1
"https://t.co/fyht6orcym",1,1
"https://t.co/emgyeipvvd",1,1
"https://t.co/zhhrbilqd8",1,1
"https://t.co/bs3hvyooll",1,1
"https://t.co/xvbzj4igt4",1,1
"https://t.co/a9lyfhsulb",1,1
"rubicon",1,1
"https://t.co/4493ulajf6",1,1
"https://t.co/rzxuqw6e7a",1,1
"queers",1,1
"https://t.co/qgagib5ixv",1,1
"preparing",1,1
"philadelphia…",1,1
"https://t.co/njchbmarhn",1,1
"optional",1,1
"https://t.co/lwya1kzjat",1,1
"https://t.co/kjxxcdvuna",1,1
"mietkiewicz",1,1
"lt;https://t.co/g0vgjbcbrk&gt",1,1
"https://t.co/hivtbubx0u",1,1
"laporte☞",1,1
"https://t.co/g0qp9cbvci",1,1
"iterative",1,1
"https://t.co/eoi4i9a5bd",1,1
"https://t.co/dctslttwv8",1,1
"https://t.co/zibhmtn3hb",1,1
"https://t.co/bvahszga3g",1,1
"https://t.co/admrq8ocsn",1,1
"https://t.co/wkejkjvg9y",1,1
"https://t.co/7kroylsewk",1,1
"https://t.co/v8dccse2bg",1,1
"runs",1,1
"https://t.co/4avjnzkmlt",1,1
"https://t.co/ttkm1e1acq",1,1
"repeating",1,1
"https://t.co/s86lf2jhgl",1,1
"https://t.co/outfdsaroc",1,1
"https://t.co/nmxhk3wpn3",1,1
"orders",1,1
"https://t.co/lzj5za73zo",1,1
"newark",1,1
"mind.”",1,1
"https://t.co/j40udqmikt",1,1
"https://t.co/hmz8zf2mqy",1,1
"https://t.co/g5uqijrtcn",1,1
"https://t.co/eqoeibn8kb",1,1
"include",1,1
"https://t.co/dfgimecg…",1,1
"https://t.co/zko85y609h",1,1
"https://t.co/byrv7ol5th",1,1
"https://t.co/y0nzmqh0kc",1,1
"https://t.co/afp6ju5wgm",1,1
"https://t.co/wm1dknd9i9",1,1
"https://t.co/7stikzgjli",1,1
"https://t.co/vb3zw2hp4p",1,1
"saddest",1,1
"entitled",1,1
"#invigoratetravel",1,1
"#discovery",1,1
"duets",1,1
"#courriel",1,1
"designer☞",1,1
"customs",1,1
"@tableautiff",1,1
"connected",1,1
"clickable",1,1
"@markmadsen",1,1
"capitula",1,1
"bonne",1,1
"@ellaworsdale",1,1
"bacon",1,1
"@cloudstream_wa",1,1
"✈️see",1,1
"https://t.co/1dcrwl6ogo",1,1
"@aledadeaco",1,1
"afternoons",1,1
"さわださとし",1,1
"govern",1,1
"#zombie",1,1
"freaked",1,1
"sheri",1,1
"episode",1,1
"#customersuccess",1,1
"deter",1,1
"#96didn\'t",1,1
"@tautenhex",1,1
"@rebeccajmarsha",1,1
"@matt40k",1,1
"career☞",1,1
"waving",1,1
"valeriano",1,1
"tragedy",1,1
"@connectedaction",1,1
"https://t.co/1fvbz8v5hx",1,1
"template",1,1
"@alisoncourses",1,1
"studying",1,1
"❤️rt",1,1
"grabs",1,1
"1:30pm",1,1
"frei#lulzypher…",1,1
"shirt…",1,1
"#tc13",1,1
"faucets",1,1
"#predictiveanalytics",1,1
"#accounting",1,1
"dad’s",1,1
"@testedcom",1,1
"@roborean",1,1
"cloudstream",1,1
"xcsays",1,1
"@jimmygo_teknion",1,1
"vector",1,1
"@evergreendata",1,1
"@cristaldsuja",1,1
"approach",1,1
"https://t.co/1lu82ntmuh",1,1
"submitting",1,1
"‘vizzing",1,1
"graphics☞",1,1
"10-5",1,1
"#tc18...ugh",1,1
"#pyt…",1,1
"etiquette",1,1
"devoirs",1,2
"darcy",1,1
"@rps_schools",1,1
"co,can’t",1,1
"ya’ll",1,1
"@joedotcom",1,1
"@feedingamerica.…",1,1
"@dansjensen",1,1
"arbk",1,1
"https://t.co/1t94juskzk",1,1
"ai-powered…",1,1
"hippos",1,1
"succumb",1,1
"【developers.io】tableau",1,1
"10/9-10/12",1,1
"fuggedabout",1,1
"feedbackthe",1,1
"event.…",1,1
"#data17...see",1,1
"#allthefeels",1,1
"@tino_ding123",1,1
"@ryanbaumann",1,1
"year!@vizwizbi",1,1
"@mitxino77",1,1
"wedding",1,1
"brazil",1,1
"vibes",1,1
"@folinohaye",1,1
"bay.…",1,1
"@aparnaappu9631",1,1
"aleinchains",1,1
"“contextual",1,1
"grids",1,1
"speed#data17",1,1
"siblings",1,1
"everyone...thanks",1,1
"#loupetooltips",1,1
"@trestainc",1,1
"collaborate",1,1
"yearly",1,1
"@montana_mou",1,1
"@jsb81",1,1
"breath",1,1
"@datachloe?!…",1,1
"arrivederci",1,1
"https://t.co/24dowhmluw",1,1
"@asheumd72",1,1
"alicia",1,1
"holy",1,1
"growth",1,1
"spirit",1,1
"15,000",1,1
"#thehustleisreal",1,1
"#robertdelong",1,1
"#makeyourownlane…",1,1
"#finserv",1,1
"#data17tableau",1,1
"#animatemyviz",1,1
"@turnaroundarts",1,1
"@msmeganfricke",1,1
"violence",1,1
"@gedunnington",1,1
"trusts",1,1
"@datajobsireland",1,1
"https://t.co/2fhff6irh0",1,1
"alley",1,1
"honor”",1,1
"filters",1,1
"#saas",1,1
"echo",1,1
"👉identify",1,1
"#databadass",1,1
"#artonwood",1,1
"cou…",1,1
"@senryoaiit",1,1
"comfort",1,1
"challenges🤓",1,1
"@kaushall_shah",1,1
"@ggorczynski",1,1
"@datanotdoctrine",1,1
"assist",1,1
"thizviz",1,1
"alte…",1,1
"surfaced",1,1
"”why",1,1
"20.10.17",1,1
"sionara",1,1
"#united",1,1
"#sc…",1,1
"exercise",1,1
"educational",1,1
"#futuredatarockstar",1,1
"#baby17!…",1,1
"days!🤗",1,1
"@united",1,1
"counter",1,1
"@shawnmlevin,https://t.co/azzd4cqfce",1,1
"commo…",1,1
"yuuuuuuup",1,1
"why’s”",1,1
"berlin",1,1
"turnout",1,1
"att…",1,1
"https://t.co/2qaqjxwscm",1,1
"thread",1,1
"@bi_pharaoh",1,1
"haden",1,1
"sketch",1,1
"#vacation",1,1
"fire",1,1
"#selfserviceanalytics",1,1
"efficient",1,1
"#genesis",1,1
"divya",1,1
"#bentleyu",1,1
"dealing",1,1
"@vavasjc",1,1
"@siliconarmada",1,1
"community:…",1,1
"zen’s",1,1
"willcmdavis)nice",1,1
"vizzers",1,1
"@graceytaylor7",1,1
"better.#data17",1,1
"@datavizdan",1,1
"attendees,5",1,1
"thur…",1,1
"amp;met",1,1
"handed",1,1
"starter",1,1
"geeky",1,1
"#vegansarefoodies",1,1
"fixed",1,1
"#sms",1,1
"experiment",1,1
"#gocuogs",1,1
"#dataonthedata",1,1
"does_data",1,1
"decimal",1,1
"@vizbizwiz/@highvizability…",1,1
"compares",1,1
"@nosqlanalytics",1,1
"@kryszyak",1,1
"vlog",1,1
"@davidzor",1,1
"author",1,1
"https://t.co/31be5agdoj",1,1
"@biradar_gopal",1,1
"https://t.co/035hi1hhim",1,1
"acct",1,1
"status",1,1
"gentlemen",1,1
"#visualization",1,1
"#speedwalker",1,1
"explored",1,1
"#narrows",1,1
"done.2",1,1
"#bobj",1,1
"deeply",1,1
"craps",1,1
"@oms_2d",1,1
"busters",1,1
"voted",1,1
"@holocaustmuseum",1,1
"birth",1,1
"automating",1,1
"https://t.co/3fpcegukgj#data",1,1
"@brianvinson",1,1
"analyzing",1,1
"https://t.co/08epdkowoa",1,1
"tableau.…",1,1
"acting",1,1
"gettin",1,1
"smoke",1,1
"#vizinthedms",1,1
"sempre",1,1
"#nestle",1,1
"empty",1,1
"#gsotug",1,1
"#datasciencehttps://t.co/xn3f1f78qz",1,1
"#breakout…",1,1
"degrees",1,1
"@watsonstevenc",1,1
"compliance",1,1
"chic",1,1
"@lilachmanheim",1,2
"w/@callmedeeray",1,1
"bite",1,1
"underway",1,1
"@denise_killeen",1,1
"avoiding",1,1
"today…",1,1
"https://t.co/0fjldvw9nz",1,1
"4:45",1,1
"gifts",1,1
"#vizz",1,1
"follow-up",1,1
"september",1,1
"#stay",1,1
"extreamly",1,1
"#nikondfsee",1,1
"encounter",1,2
"#happy",1,1
"drastic",1,1
"#businessintelli…",1,1
"deliver",1,1
"@wing_fu",1,1
"@starschema",1,1
"concatenate",1,1
"chilling",1,1
"woohoooo",1,1
"cache",1,1
"unite—find",1,1
"@dnanalytics",1,1
"aways",1,1
"tomorrow!#tc17",1,1
"https://t.co/0lpniv6sih",1,1
"hawaiian",1,1
"536 ",1,1
"gla…",1,1
"#weardatapeople-buffalo",1,1
"footprinthttps://t.co/ju3mdfx3qq",1,1
"#symfony",1,1
"#odoohttps://t.co/6ihllmtzpe",1,1
"#howtohttps://t.co/zzh386jahf",1,1
"dri…",1,1
"demo…",1,1
"crowds",1,1
"@perceptiondc",1,1
"christmas",1,1
"@lusciousjames",1,1
"unlocking",1,1
"@douglasmcdowell",1,1
"awsome",1,1
"anomaly-large",1,1
"https://t.co/0qgxenylyh",1,1
"tall",1,1
"headaches",1,1
"#whathappensinvegas",1,1
"forex",1,2
"#tableau17",1,1
"facing",1,1
"#parkour",1,1
"#icimo",1,1
"#clavardage",1,1
"departures",1,1
"@yvanfornes…",1,1
"conference.#data17#datapluswomen",1,1
"citizen",1,1
"@maddow",1,1
"wanting",1,1
"anthony",1,1
"https://t.co/0tm6mxt5v4",1,1
"@actbrilliant…",1,1
"adult",1,1
"strategically",1,1
"fotos",1,1
"shackleton",1,1
"#tableaucommunitycares",1,1
"#perunews",1,1
"#devops",1,1
"ds_yy",1,1
"#competitive",1,1
"dernière",1,1
"confusion",1,1
"@projetomaestro",1,1
"classe",1,1
"wars.…",1,1
"@jacoblrosen",1,1
"upset",1,1
"@chrisschaeuble",1,1
"https://t.co/1483jputpt",1,1
"tcot",1,1
"@airbus",1,1
"¡pmc®",1,1
"sooooo",1,1
"frame…",1,1
"https://t.co/qn5uj…",1,1
"https://t.co/owzz6p1cxn#data",1,1
"physician",1,1
"originally",1,1
"https://t.co/kplond5d65",1,1
"https://t.co/j7giwltxnr",1,1
"https://t.co/hokgioslpe#data",1,1
"https://t.co/gakpwbcrcg",1,1
"https://t.co/ervhdy5k2x",1,1
"https://t.co/dh1m5cstti",1,1
"https://t.co/zma9ycuplj",1,1
"https://t.co/c0y3dqze2m",1,1
"https://t.co/y6kki0jqkz",1,1
"https://t.co/ahnzrpfuer",1,1
"https://t.co/woducbp6wk",1,1
"https://t.co/7wstwtfzas",1,1
"https://t.co/vdbklpwnmj",1,1
"https://t.co/4itd1pgvl5",1,1
"https://t.co/txxe4oviys",1,1
"https://t.co/setekhksr4#data_science",1,1
"radar",1,1
"https://t.co/qpltpozhdn",1,1
"price☞",1,1
"https://t.co/ozngssj3e0",1,1
"picone",1,1
"https://t.co/npyfrbxv…",1,1
"https://t.co/m7glnrikbd",1,1
"nights",1,1
"https://t.co/krmki0yb4f",1,1
"https://t.co/jc9auvwkxm",1,1
"https://t.co/hq7o3v4wez",1,1
"https://t.co/gdd39levps",1,1
"https://t.co/evf1ypcnly",1,1
"https://t.co/dlhjuglvfx",1,1
"https://t.co/znonp9ev8e",1,1
"https://t.co/c6…",1,1
"https://t.co/yavoitdi8x",1,1
"https://t.co/ajvetejush",1,1
"https://t.co/wrdllgor7y",1,1
"https://t.co/804ktjm10h",1,1
"https://t.co/vetvllntbr",1,1
"sardine",1,1
"https://t.co/4oe43btcbd",1,1
"https://t.co/u0u1bnkzm2",1,1
"https://t.co/sk7v40rphz",1,1
"random",1,1
"https://t.co/qtyzrz3rxh",1,1
"prize",1,1
"https://t.co/p4wkerhfib",1,1
"https://t.co/nrojknij3a",1,1
"overtime",1,1
"https://t.co/mazh4hyuq1",1,1
"nodey",1,1
"https://t.co/ktyom61vbe#data",1,1
"https://t.co/jfndm4kvff",1,1
"https://t.co/htv6xx1pzq",1,1
"https://t.co/gfbpw4sazh",1,1
"jock",1,1
"https://t.co/expdmby8…",1,1
"infinity",1,1
"https://t.co/dnrtxgsudx",1,1
"https://t.co/zqltyaoqzk",1,1
"https://t.co/cafswm3bkr",1,1
"https://t.co/ye6cwazk9v",1,1
"https://t.co/aom8aqvznh",1,1
"https://t.co/wtwwbcuqtw#data",1,1
"https://t.co/86u5zg5mdb",1,1
"https://t.co/vhbjbvgokv",1,1
"savaged...#data17",1,1
"https://t.co/4u08kx2fwr",1,1
"https://t.co/u3kvowcslh",1,1
"resolutions",1,1
"https://t.co/smubbo6q0h",1,1
"https://t.co/qwggobypbj",1,1
"https://t.co/p9mzqbug9v…",1,1
"plan...no",1,1
"https://t.co/mcuw7tpvfo",1,1
"northshore",1,1
"https://t.co/kxpuaqaatp",1,1
"https://t.co/jik0c5ejoo",1,1
"https://t.co/hxlvsmsc5g",1,1
"length",1,1
"https://t.co/ghb0mgbhq9",1,1
"joke",1,1
"https://t.co/f0yh5o4iik",1,1
"https://t.co/drnrbj0d18",1,1
"https://t.co/zt2jqormyp#data_science",1,1
"https://t.co/cca0wxogo2",1,1
"https://t.co/ygugl1crpb",1,1
"https://t.co/arlhk2wxac",1,1
"https://t.co/wvzxna227b",1,1
"https://t.co/8eok7aho9e",1,1
"https://t.co/vko0nzwrpc",1,1
"say...@alteryx",1,1
"https://t.co/4yvfyen4v2",1,1
"https://t.co/u7y8od5uxa",1,1
"https://t.co/sqjblzruuq",1,1
"https://t.co/qxqjyi2sws",1,1
"https://t.co/pcm8znvhcv",1,1
"https://t.co/mgvvfmiatx",1,1
"https://t.co/kz4y0zs14u",1,1
"mondo",1,1
"https://t.co/i11unwsvg8",1,1
"leveling",1,1
"https://t.co/gjvdktbo4w",1,1
"jpmc",1,1
"https://t.co/f3azj3iwwp",1,1
"inked",1,1
"https://t.co/duwauurwfz",1,1
"https://t.co/zwundctgcd",1,1
"https://t.co/cf2b6pdb1c",1,1
"https://t.co/ykekwcaskv",1,1
"https://t.co/wymoccolzw",1,1
"https://t.co/8i…",1,1
"https://t.co/vn4fjox8ir",1,1
"schneider",1,1
"https://t.co/uakiv1ahb4",1,1
"https://t.co/sskzsw9gpd",1,1
"https://t.co/peb0tuz8zt",1,1
"https://t.co/nze1md9kqx#datascience",1,1
"https://t.co/mmkwm2xj07",1,1
"now/next",1,1
"https://t.co/l0txnn8aqc",1,1
"monster",1,1
"https://t.co/jmtjfkkvr5",1,1
"mapreduce",1,1
"https://t.co/i3kqkyblmwhttps://t.co/drzlsliskchttps://t.co/wdehkmuapz#data17",1,1
"liberty",1,1
"https://t.co/gmdfjxmhv0",1,1
"junkies",1,1
"https://t.co/f83uqbt4jj",1,1
"insight.....even",1,1
"https://t.co/dxwldx2kds",1,1
"https://t.co/zzpd9kvafx",1,1
"https://t.co/chvkfnt3rr",1,1
"https://t.co/ay7pwbrmxh",1,1
"https://t.co/wzlblcomgd",1,1
"https://t.co/8p5ok2o8zh",1,1
"https://t.co/vpxut0ykbr",1,1
"sciences",1,1
"https://t.co/5grnrlmdcd",1,1
"reveal",1,1
"https://t.co/swb2zmqlqh#data",1,1
"https://t.co/r9o9qspl4t",1,1
"https://t.co/pgddm2i15z",1,1
"plots",1,1
"https://t.co/o6t8qjxnvs",1,1
"parameter",1,1
"https://t.co/mohupxrbco",1,1
"https://t.co/l5jewijwwl",1,1
"more...savage",1,1
"https://t.co/jozct0yli3",1,1
"market—he",1,1
"https://t.co/ia2nwimotd#data",1,1
"ligne",1,1
"https://t.co/fcxnp5inoi",1,1
"https://t.co/clctntqggl",1,1
"https://t.co/yoaw2vth65",1,1
"https://t.co/b1p6e7b3dn#data",1,1
"https://t.co/x5yq15tkl7",1,1
"https://t.co/vscje3hgjx",1,1
"https://t.co/5oluqsv2yl",1,1
"https://t.co/udovha4hsv",1,1
"rewinding",1,1
"https://t.co/sy8hsdeccf",1,1
"received",1,1
"pros",1,1
"https://t.co/pj86azgmld",1,1
"participants",1,1
"https://t.co/mt75pkmdbq",1,1
"nyny",1,1
"motivated",1,1
"https://t.co/jraub7619o",1,1
"https://t.co/grnr8quf1a",1,1
"https://t.co/fesjymdmia",1,1
"insulates",1,1
"https://t.co/e7fspstmlr",1,1
"https://t.co/cnyfaspj8d",1,1
"https://t.co/ypxjsnkyju",1,1
"https://t.co/vuxotjelqw",1,1
"script",1,1
"https://t.co/5wemrunxyo#data",1,1
"https://t.co/uh2qcopbuq",1,1
"https://t.co/t0pwcuexvu#data",1,1
"https://t.co/rdwtv…",1,1
"https://t.co/pl68odepyr",1,1
"police",1,1
"https://t.co/mvwjkicoph",1,1
"https://t.co/leftaj9vla",1,1
"https://t.co/jtwyfxbo2m",1,1
"matched",1,1
"https://t.co/ies0lj3fah",1,1
"https://t.co/gv2n9plknq",1,1
"keynote!#tc17",1,1
"https://t.co/fhvvqdlc0q",1,1
"intend",1,1
"https://t.co/e9tmiyg1el",1,1
"hydrating",1,1
"https://t.co/ytse1wjced",1,1
"https://t.co/bb38nkf4th",1,1
"https://t.co/99ajrsedqe#data",1,1
"https://t.co/vw6ujrws6n@tableau@alteryx@planetbrandee@freakonomics@yvesmulkers@xlth@aselipsk…",1,1
"https://t.co/ukjlo9f7qi",1,1
"https://t.co/t6trbeyvkl",1,1
"https://t.co/rgpubfwxzz",1,1
"https://t.co/pnsiiixbvc",1,1
"https://t.co/oerw6tpaws",1,1
"https://t.co/mz2uzhziy4",1,1
"https://t.co/li4rsjpglc",1,1
"https://t.co/igpbnd45lv",1,1
"https://t.co/gwxgkguxma",1,1
"https://t.co/fk6xuqyhro",1,1
"international",1,1
"https://t.co/cuehx5jnhw",1,1
"https://t.co/ywczwv3fto#datascience",1,1
"https://t.co/bdrqeob6yk",1,1
"https://t.co/xhugwy8ujs",1,1
"https://t.co/9gnl4sln99",1,1
"https://t.co/vwyhp7rfle",1,1
"https://t.co/ur0phyaoqr",1,1
"reflection",1,1
"https://t.co/rlc8nhsprw",1,1
"pucci",1,1
"https://t.co/pqje6mgav2",1,1
"portal",1,1
"https://t.co/ogpfvctxm2",1,1
"https://t.co/n1lcnmmb3b",1,1
"oklahoma",1,1
"muting",1,1
"https://t.co/jxo6pdqfou",1,1
"measuring",1,1
"https://t.co/iiuyeh2wz8",1,1
"https://t.co/gywvyal6iz",1,1
"killer",1,1
"https://t.co/fn7lej9ikz",1,1
"https://t.co/ecbzl6lv2e",1,1
"icing",1,1
"https://t.co/cw45gt89ky",1,1
"https://t.co/bhpcxukwv3",1,1
"https://t.co/xjxnims0m1",1,1
"https://t.co/9ksbim2stf",1,1
"select",1,1
"https://t.co/6kqlzl4s6b",1,1
"https://t.co/te0z2mom6g",1,1
"https://t.co/rp7z8i3xco",1,1
"pupdates",1,1
"post-conference",1,1
"https://t.co/oiwwdz4jcv",1,1
"pdf):…",1,1
"https://t.co/n7n9j…",1,1
"https://t.co/ln671m41uj",1,1
"mythbusting",1,1
"https://t.co/k3tijkkk8n",1,1
"meets",1,1
"https://t.co/il4v9w3mbn",1,1
"https://t.co/h3ke4bclzs",1,1
"https://t.co/frbvhqlmll",1,1
"introvert",1,1
"https://t.co/ef8s1tablg",1,1
"ideating",1,1
"https://t.co/cys465dkbo",1,1
"https://t.co/z2pdageprp",1,1
"https://t.co/bjxs5erxyv",1,1
"https://t.co/9uopycp4qb",1,1
"https://t.co/w5rlfzgemj",1,1
"https://t.co/6r0rythsmk#data",1,1
"https://t.co/uvsoip8wnk#data_science",1,1
"rollercoaster",1,1
"https://t.co/th7fjkswjh",1,1
"https://t.co/rre1t1gpqj",1,1
"pushing",1,1
"https://t.co/q0gfa…",1,1
"https://t.co/omoegzo3wm",1,1
"https://t.co/naodhybx8h",1,1
"onstage",1,1
"https://t.co/lqggsmdlf9#datascience",1,1
"nailed",1,1
"https://t.co/k87ei9dznd",1,1
"https://t.co/haoxes5w0b",1,1
"know!!very",1,1
"https://t.co/ftjezshvea",1,1
"https://t.co/ehcmnzq0uh",1,1
"https://t.co/d0xify1rw2",1,1
"https://t.co/zae61gfdiz",1,1
"https://t.co/bnm92pfdwa",1,1
"https://t.co/xohqwldw6g",1,1
"https://t.co/a2bnkuvb4n",1,1
"https://t.co/wc3zblnfru",1,1
"https://t.co/6z44ohnzro",1,1
"https://t.co/uyf1j1kjjk",1,1
"https://t.co/3mwdpednww",1,1
"https://t.co/tlhlfr86fw",1,1
"related",1,1
"https://t.co/ru4qhcawds",1,1
"pyspark☞",1,1
"https://t.co/q3znfm2of7#data_science",1,1
"prêt",1,1
"performing",1,1
"https://t.co/nd7euxcs…",1,1
"https://t.co/ls0zkvswpt",1,1
"nawlins",1,1
"https://t.co/keneej21vv",1,1
"ktfontno",1,1
"https://t.co/fvjgvisjzf",1,1
"https://t.co/eifv2rkfeq",1,1
"https://t.co/d78gbwmmhz",1,1
"https://t.co/zcwd6w3ome",1,1
"https://t.co/xrsxmftery",1,1
"https://t.co/a6855bgqm4",1,1
"https://t.co/wenrhesut5",1,1
"https://t.co/79rhuvg3ol",1,1
"https://t.co/uznum1wsie",1,1
"https://t.co/3q3gliprkt",1,1
"https://t.co/rx55zw30fa",1,1
"quadrant",1,1
"https://t.co/qavfdy6exi",1,1
"predict",1,1
"https://t.co/ooz3gfqfzl",1,1
"perspective",1,1
"https://t.co/nhnr1ztwum",1,1
"opinion#data17",1,1
"https://t.co/luqrmqgrar",1,1
"neil",1,1
"https://t.co/khmaqvgxgc#data",1,1
"methods",1,1
"https://t.co/iuj…",1,1
"https://t.co/hed4tg5h7u",1,1
"https://t.co/fyefk7zjr3",1,1
"isnt",1,1
"https://t.co/elumb5ag7z",1,1
"implementing",1,1
"https://t.co/db8h8yxudd",1,1
"https://t.co/zftxnth1uh",1,1
"https://t.co/wge3mcqqhu",1,1
"https://t.co/7esfr1r0ek",1,1
"https://t.co/v36lql5krr",1,1
"https://t.co/3zqq3rkjsy",1,1
"reminiscing",1,1
"https://t.co/qg4yylm3m4",1,1
"prepare",1,1
"phenomenal…",1,1
"https://t.co/nivhsbhopa",1,1
"https://t.co/lwvnubpija",1,1
"midst",1,1
"https://t.co/iwyytxwyjv",1,1
"lt;…",1,1
"https://t.co/hihnlib0qk#data_science",1,1
"lanyards",1,1
"https://t.co/g0mtai60mq",1,1
"https://t.co/eocmhjmc0d",1,1
"impressive!!!!#data17",1,1
"https://t.co/dcronfulga",1,1
"https://t.co/zi8geupkee",1,1
"https://t.co/buou4um6xn",1,1
"https://t.co/ad8cxkweks",1,1
"https://t.co/wjzfi9wwz6",1,1
"https://t.co/7ki0pfi9vm",1,1
"https://t.co/v7u6mkrkp3",1,1
"https://t.co/tspuu2mjjc",1,1
"repeat",1,1
"https://t.co/s7jbqbj4qy",1,1
"presentation/report",1,1
"https://t.co/ougx9zrazc",1,1
"ordering",1,1
"https://t.co/lyk2ksithy",1,1
"https://t.co/kl5jqhselz…",1,1
"https://t.co/j2ljyqlsfw",1,1
"luca",1,1
"https://t.co/g5shjunu4t",1,1
"jackson",1,1
"https://t.co/eqjnonknr5",1,1
"incipit",1,1
"https://t.co/dekatgrm73",1,1
"https://t.co/zklogavvvn",1,1
"https://t.co/afgnhavcwk",1,1
"https://t.co/7spznbdh1u",1,1
"https://t.co/vayfg4qgzt",1,1
"https://t.co/4g3vdnxqzq",1,1
"https://t.co/tvdiwzcpvz",1,1
"https://t.co/sb…",1,1
"duds",1,1
"#countdown",1,1
"design☞",1,1
"#237",1,1
"customize",1,1
"@tableausupport",1,1
"click",1,1
"worldwide",1,1
"capital",1,1
"waste",1,1
"@jbakerva",1,1
"bone",1,1
"backups",1,1
"https://t.co/1c3pkfgjvc",1,1
"helped",1,1
"sorts",1,1
"#zion",1,1
"shelf",1,1
"#tableauv…",1,1
"#poojatastic",1,1
"epidemic",1,1
"#ironziv",1,1
"dynamic",1,1
"#cul…",1,1
"cypheriston2f",1,1
"@tartsrva",1,1
"constellation",1,1
"watercolor",1,1
"@jenshepherd10",1,1
"boom.#tableau",1,1
"vacation",1,1
"@ericmpastore",1,1
"https://t.co/1fmef0wjz3",1,1
"agile",1,1
"❤️data",1,1
"south",1,1
"1:30am",1,1
"free…",1,1
"#iwt16",1,1
"😂#data17",1,1
"developer!☞",1,1
"#accenturedigital",1,1
"dada",1,1
"@teradata",1,1
"clouderaevents",1,1
"@megameofthrones",1,1
"carsphoto",1,1
"we’ll",1,1
"@jigsparkh",1,1
"@evan_data",1,1
"transition",1,1
"@crichey",1,1
"https://t.co/1lnogdpcyo",1,1
"terrifying",1,1
"‘visualizations",1,1
"graphics",1,1
"spe…",1,1
"#purplereign",1,1
"#julia",1,1
"😍#data17",1,1
"#data17!!…",1,1
"devices…",1,1
"danielle",1,1
"@thegudking",1,1
"continues🔁tcot-get-together",1,1
"cmswire",1,1
"@michelotti_m",1,1
"catch!…",1,1
"https://t.co/1sni1p6qoc",1,1
"ai-powered",1,1
"hint",1,1
"successfully",1,1
"…http://pic.twitter.com/ujeye5o…",1,1
"10/24.…",1,1
"fuel",1,1
"#teamcsun",1,1
"#leads",1,1
"#excalibur",1,1
"didn\'t…",1,1
"#allthedata",1,1
"dashing",1,1
"@timblaze",1,1
"@ryan_callihan",1,1
"@miss_dataqueen",1,1
"wed!…",1,1
"branding",1,1
"@focusasia",1,1
"@dataanalytic_bs",1,1
"https://t.co/1w1iat5mgj",1,1
"historical",1,1
"suggestions",1,1
"“coding",1,1
"funny",1,1
"shrink",1,1
"#techsummit",1,1
"#reportwriting",1,1
"everyone:…",1,1
"e-mail",1,1
"#fantasyfootball",1,1
"digging",1,1
"#ambassadoradventure",1,1
"data→share",1,1
"coolest",1,1
"@sanfan123",1,1
"year👇…",1,1
"@mongodb",1,1
"weekly",1,1
"@jpnbeercity",1,1
"breaks",1,1
"@freakon…",1,1
"arrived.priorities",1,1
"https://t.co/239bxk1sh4",1,1
"theme",1,1
"sunny",1,1
"grows",1,1
"galaxy",1,1
"files…",1,1
"ears",1,1
"#find_champ",1,1
"#data17sorry",1,1
"director",1,1
"dataiku",1,1
"@tugcleveland",1,1
"corny",1,1
"@scott_strool",1,1
"artists",1,1
"https://t.co/2e2ofosay3",1,1
"@atscale",1,1
"all!finally",1,1
"“quantity",1,1
"#trbpartners",1,1
"exchanging",1,1
"#marketers",1,1
"discret",1,1
"#artiste",1,1
"@uchicago",1,1
"costumes",1,1
"@seeqcorporation",1,1
"come.....#data17",1,1
"you’re…",1,1
"challenges…",1,1
"whisker",1,1
"broncos",1,1
"assets",1,1
"https://t.co/2kxeznwtnc",1,1
"@bamagirl108",1,1
"surface",1,1
"“you",1,1
"#unicornpuke",1,1
"executive",1,1
"#datadiva",1,1
"displays",1,1
"days:☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️☕️�",1,1
"@unfinished78",1,1
"counted",1,1
"comments",1,1
"@kevin_rutter",1,1
"@goldenknights",1,1
"bera",1,1
"turning",1,1
"@datasaurus_rex",1,1
"thr…",1,1
"situations",1,1
"#ux_strategy",1,1
"#sdpfellows",1,1
"#geeks…",1,1
"👊🏻👊🏻",1,1
"#datalove",1,1
"dealer",1,1
"@valpey",1,1
"course☞…",1,1
"@sightmachine",1,1
"@netflixtalking",1,1
"willcmdavis",1,1
"@kirkdborne",1,1
"buildup☞",1,1
"@dataveld",1,1
"https://t.co/2un1m4lzic",1,1
"amp;…",1,1
"hrrrrrr",1,1
"swift",1,1
"geekwire",1,1
"#vegan",1,1
"fives",1,1
"#smm",1,1
"#mood",1,1
"electrifyin…",1,1
"winging",1,1
"@kryptonknight7",1,1
"bundled",1,1
"@hardwareandro",1,1
"types.…",1,1
"austin",1,1
"https://t.co/2zfjn4g5bl",1,1
"@binsanoj",1,1
"statistics",1,1
"genre",1,1
"sliding",1,1
"#spark…",1,1
"#mythsbusted",1,1
"emission",1,1
"#grandcanyon",1,1
"#datapride",1,1
"#bna",1,1
"@vizpa…",1,1
"@snowflakedb…",1,1
"competing",1,1
"@ohmetimothy",1,1
